EmployeeNumber,Age,Department,JobRole,MonthlyIncome,OverTime,JobSatisfaction,YearsAtCompany,WorkLifeBalance,PerformanceRating,YearsSinceLastPromotion,Attrition
529,37,Research & Development,Research Scientist,4449,Yes,3,13,3,3,10,No
530,31,Research & Development,Laboratory Technician,2218,No,1,4,3,3,3,No
531,39,Research & Development,Manager,19197,Yes,3,21,3,3,1,No
532,56,Sales,Sales Executive,13212,No,1,7,2,3,7,No
533,30,Sales,Sales Executive,6577,No,3,5,3,3,4,No
534,41,Sales,Sales Executive,8392,No,1,10,3,3,0,No
536,28,Research & Development,Laboratory Technician,4558,No,1,10,3,3,1,No
538,25,Research & Development,Laboratory Technician,4031,No,1,2,3,3,0,Yes
543,52,Research & Development,Manufacturing Director,7969,Yes,3,5,3,3,0,No
544,45,Research & Development,Research Scientist,2654,No,4,2,2,4,0,No
546,52,Research & Development,Manager,16555,No,4,5,1,3,1,No
547,42,Research & Development,Research Scientist,4556,No,3,5,3,3,0,No
548,30,Research & Development,Manufacturing Director,6091,No,4,5,3,4,0,No
549,60,Research & Development,Manager,19566,No,1,29,1,3,11,No
550,46,Research & Development,Manufacturing Director,4810,No,3,10,2,3,0,No
551,42,Research & Development,Healthcare Representative,4523,No,4,6,4,3,0,No
554,24,Sales,Sales Representative,3202,Yes,2,5,3,3,1,Yes
555,34,Sales,Sales Representative,2351,No,3,2,2,3,1,Yes
556,38,Research & Development,Laboratory Technician,1702,Yes,4,1,3,4,0,No
558,40,Sales,Manager,18041,No,3,20,3,3,1,No
560,26,Research & Development,Research Scientist,2886,No,4,3,1,4,0,No
562,30,Research & Development,Laboratory Technician,2097,No,4,5,1,3,1,No
564,29,Research & Development,Research Director,11935,No,3,10,3,3,0,No
565,29,Research & Development,Research Scientist,2546,No,2,2,4,3,1,Yes
566,19,Human Resources,Human Resources,2564,No,4,1,4,3,0,Yes
567,30,Sales,Sales Executive,8412,No,1,9,3,3,7,No
568,57,Sales,Manager,14118,No,4,1,2,3,0,No
569,50,Research & Development,Manager,17046,No,3,27,3,3,15,No
571,30,Research & Development,Laboratory Technician,2564,No,4,11,2,3,6,No
573,60,Sales,Sales Executive,10266,No,1,18,4,3,13,No
574,47,Research & Development,Manufacturing Director,5070,No,4,5,3,3,0,No
575,46,Research & Development,Research Director,17861,No,3,3,1,3,0,No
577,35,Research & Development,Laboratory Technician,4230,No,3,5,3,3,4,No
578,54,Research & Development,Laboratory Technician,3780,No,3,1,3,3,0,No
579,34,Research & Development,Research Scientist,2768,No,3,7,3,3,5,No
580,46,Sales,Sales Executive,9071,Yes,4,3,3,3,1,No
581,31,Research & Development,Manufacturing Director,10648,No,2,13,4,4,0,No
582,33,Research & Development,Manager,13610,Yes,3,7,4,3,7,Yes
584,33,Research & Development,Laboratory Technician,3408,No,4,4,3,3,1,Yes
585,30,Sales,Sales Representative,2983,No,2,3,3,3,1,No
586,35,Research & Development,Healthcare Representative,7632,Yes,3,8,3,3,0,No
587,31,Research & Development,Healthcare Representative,9824,No,3,1,3,3,0,Yes
590,34,Human Resources,Human Resources,9950,Yes,1,3,3,3,0,Yes
591,42,Research & Development,Laboratory Technician,2093,No,3,2,3,3,2,No
592,36,Sales,Sales Executive,9980,No,4,10,2,3,9,No
593,22,Research & Development,Laboratory Technician,3894,No,3,2,3,3,1,Yes
595,48,Sales,Sales Executive,4051,No,4,9,3,3,6,No
597,55,Sales,Manager,16835,No,2,10,3,4,7,No
599,41,Sales,Sales Executive,6230,No,4,14,3,3,1,No
600,35,Sales,Sales Executive,4717,No,3,11,3,3,6,No
601,40,Research & Development,Manufacturing Director,13237,No,3,20,3,3,5,No
602,39,Research & Development,Laboratory Technician,3755,No,3,8,3,3,0,No
604,31,Sales,Sales Executive,6582,Yes,4,6,4,3,0,No
605,42,Research & Development,Manufacturing Director,7406,Yes,1,10,2,4,5,No
606,45,Sales,Sales Executive,4805,No,2,8,4,3,3,No
608,26,Human Resources,Human Resources,2741,Yes,3,7,2,3,1,Yes
611,29,Research & Development,Manufacturing Director,4262,No,4,3,4,3,1,No
612,33,Research & Development,Research Director,16184,No,3,6,3,3,0,No
613,31,Sales,Manager,11557,No,4,5,2,4,0,No
614,18,Sales,Sales Representative,1878,Yes,2,0,3,3,0,Yes
615,40,Sales,Sales Executive,10932,No,1,1,3,3,0,No
616,41,Research & Development,Healthcare Representative,6811,Yes,3,8,3,3,0,No
618,26,Sales,Sales Executive,4306,No,3,0,3,3,0,No
620,35,Sales,Sales Executive,4859,No,3,5,3,3,0,No
621,34,Sales,Sales Executive,5337,No,4,10,3,3,5,No
622,26,Research & Development,Laboratory Technician,2340,Yes,4,1,1,3,0,Yes
623,37,Research & Development,Manufacturing Director,7491,No,4,6,4,3,1,No
624,46,Research & Development,Healthcare Representative,10527,No,3,2,2,3,1,No
625,41,Sales,Manager,16595,No,1,18,3,3,11,No
626,37,Sales,Sales Executive,8834,No,2,9,3,3,7,No
630,52,Research & Development,Research Scientist,5577,Yes,1,10,3,3,6,No
631,32,Sales,Sales Executive,4707,No,3,4,3,3,1,Yes
632,24,Sales,Sales Representative,2400,No,4,2,3,3,2,No
634,38,Research & Development,Healthcare Representative,9824,No,3,1,3,3,0,No
635,37,Research & Development,Manufacturing Director,6447,No,2,6,2,3,4,No
638,49,Research & Development,Research Director,19502,Yes,3,31,3,3,0,No
639,24,Research & Development,Research Scientist,2725,Yes,4,6,3,3,1,No
641,26,Sales,Sales Executive,6272,No,2,5,4,4,1,No
643,24,Research & Development,Laboratory Technician,2127,No,2,1,3,4,0,No
644,50,Human Resources,Manager,18200,No,2,32,3,3,10,No
645,25,Sales,Sales Representative,2096,No,3,7,3,3,0,No
647,24,Research & Development,Laboratory Technician,2886,Yes,3,6,3,3,1,Yes
648,30,Sales,Sales Representative,2033,No,1,1,4,3,0,Yes
649,34,Research & Development,Research Scientist,3622,Yes,4,6,3,3,1,No
650,31,Sales,Sales Executive,4233,No,1,3,1,3,1,Yes
652,35,Research & Development,Laboratory Technician,3681,No,4,3,3,3,0,No
653,31,Sales,Sales Executive,5460,No,4,7,4,4,5,No
655,27,Research & Development,Research Scientist,2187,No,3,5,2,3,0,No
656,37,Sales,Sales Executive,9602,Yes,3,3,2,3,1,No
657,20,Research & Development,Research Scientist,2836,No,2,1,4,3,0,No
659,42,Research & Development,Healthcare Representative,4089,No,4,10,3,3,2,No
661,43,Research & Development,Research Director,16627,Yes,4,1,2,3,0,No
662,38,Research & Development,Research Scientist,2619,No,1,0,2,3,0,No
663,43,Research & Development,Laboratory Technician,5679,Yes,3,8,3,3,4,No
664,48,Research & Development,Manager,15402,No,1,3,1,3,0,No
665,44,Human Resources,Human Resources,5985,No,3,2,4,3,0,No
666,34,Sales,Sales Representative,2579,Yes,3,8,3,3,0,No
667,27,Sales,Sales Representative,3041,No,1,4,3,3,0,Yes
669,21,Sales,Sales Representative,3447,No,3,3,3,3,1,No
671,44,Research & Development,Manager,19513,Yes,4,2,4,3,0,No
675,22,Research & Development,Research Scientist,2773,No,3,2,3,4,2,No
677,33,Sales,Sales Executive,7104,No,3,5,3,3,1,No
679,32,Research & Development,Research Scientist,6322,Yes,4,6,2,3,0,No
680,30,Research & Development,Research Scientist,2083,No,3,1,3,4,0,No
682,53,Sales,Sales Executive,8381,No,1,14,4,4,8,No
683,34,Research & Development,Research Scientist,2691,No,4,10,2,3,8,No
684,45,Sales,Sales Executive,4286,No,1,1,3,3,0,Yes
686,26,Research & Development,Laboratory Technician,2659,Yes,4,3,3,3,0,No
689,37,Research & Development,Manufacturing Director,9434,No,3,10,3,3,7,No
690,29,Sales,Sales Executive,5561,No,3,6,2,3,1,No
691,35,Research & Development,Research Scientist,6646,No,4,17,3,3,11,No
692,33,Research & Development,Healthcare Representative,7725,No,4,13,1,4,4,No
698,54,Human Resources,Human Resources,10725,No,2,9,4,3,7,No
699,36,Research & Development,Manufacturing Director,8847,Yes,2,3,3,3,0,No
700,27,Research & Development,Research Scientist,2045,No,4,4,3,3,1,No
701,20,Research & Development,Research Scientist,1009,Yes,3,1,3,3,1,Yes
702,33,Research & Development,Research Scientist,3348,Yes,1,10,3,3,9,Yes
704,35,Research & Development,Laboratory Technician,1281,No,3,1,3,3,0,No
705,23,Research & Development,Research Scientist,2819,No,1,3,4,3,0,No
707,25,Sales,Sales Executive,4851,No,2,3,3,4,1,No
709,38,Sales,Sales Executive,4028,No,4,7,3,4,0,No
710,29,Research & Development,Research Scientist,2720,No,4,10,3,3,2,No
712,48,Sales,Sales Executive,8120,No,2,2,3,3,2,No
714,27,Sales,Sales Executive,4647,Yes,4,6,3,4,0,No
715,37,Research & Development,Research Scientist,4680,No,4,1,3,3,0,No
716,50,Research & Development,Laboratory Technician,3221,Yes,3,20,3,3,3,No
717,34,Research & Development,Healthcare Representative,8621,No,2,8,4,3,7,No
720,24,Sales,Sales Executive,4577,No,3,2,3,3,2,Yes
721,39,Research & Development,Healthcare Representative,4553,No,3,20,3,3,11,No
722,32,Sales,Sales Executive,5396,No,4,10,2,3,0,No
723,50,Sales,Sales Executive,6796,Yes,3,4,3,3,1,Yes
724,38,Research & Development,Healthcare Representative,7625,No,4,9,2,3,1,No
725,27,Research & Development,Manufacturing Director,7412,No,1,9,3,3,0,No
727,32,Research & Development,Research Director,11159,No,4,7,3,3,7,No
728,47,Sales,Sales Executive,4960,No,1,7,3,3,1,No
729,40,Sales,Sales Executive,10475,Yes,1,18,3,4,1,No
730,53,Research & Development,Research Director,14814,No,3,5,3,3,1,No
731,41,Human Resources,Manager,19141,No,4,21,2,3,12,No
732,60,Sales,Sales Executive,5405,No,1,2,3,3,2,No
733,27,Research & Development,Manufacturing Director,8793,No,1,9,2,4,1,No
734,41,Human Resources,Manager,19189,No,3,22,3,3,2,No
738,50,Sales,Sales Representative,3875,No,2,2,3,3,2,No
741,28,Research & Development,Research Scientist,2216,Yes,2,7,3,3,3,Yes
742,36,Research & Development,Research Director,11713,No,1,8,3,3,0,No
743,38,Research & Development,Manufacturing Director,7861,Yes,3,1,4,3,0,No
744,44,Research & Development,Laboratory Technician,3708,No,3,5,3,3,1,No
746,47,Sales,Sales Executive,13770,Yes,3,22,2,3,11,No
747,30,Sales,Sales Executive,5304,No,4,8,2,4,7,No
749,29,Sales,Sales Representative,2642,No,3,1,3,3,0,No
752,42,Research & Development,Research Scientist,2759,Yes,3,2,3,3,2,Yes
754,43,Sales,Sales Executive,6804,No,4,2,3,3,2,No
757,34,Research & Development,Healthcare Representative,6142,No,3,5,3,3,4,No
758,23,Research & Development,Laboratory Technician,2500,No,1,4,4,3,0,No
760,39,Human Resources,Human Resources,6389,No,2,8,1,3,3,No
762,56,Research & Development,Healthcare Representative,11103,No,4,10,2,3,1,No
763,40,Research & Development,Research Scientist,2342,Yes,4,4,2,4,2,No
764,27,Research & Development,Healthcare Representative,6811,No,1,7,1,3,0,No
766,29,Sales,Sales Representative,2297,No,2,2,3,3,2,No
769,53,Research & Development,Laboratory Technician,2450,No,4,2,3,3,2,No
771,35,Research & Development,Healthcare Representative,5093,No,1,1,4,3,0,No
772,32,Research & Development,Laboratory Technician,5309,No,4,10,3,3,4,No
773,38,Research & Development,Research Scientist,3057,Yes,3,1,1,3,0,No
775,34,Research & Development,Manufacturing Director,5121,No,1,0,3,3,0,No
776,52,Sales,Manager,16856,No,1,34,4,3,1,No
780,33,Research & Development,Research Scientist,2686,Yes,4,10,2,3,7,Yes
781,25,Sales,Sales Executive,6180,No,4,6,2,4,1,No
783,45,Sales,Sales Representative,6632,No,3,8,3,3,3,No
784,23,Research & Development,Research Scientist,3505,No,3,2,3,3,0,No
785,47,Sales,Sales Executive,6397,Yes,3,5,3,3,1,Yes
786,34,Sales,Sales Executive,6274,No,4,6,3,4,1,No
787,55,Research & Development,Manager,19859,Yes,1,5,3,3,1,Yes
789,36,Sales,Sales Executive,7587,No,1,10,3,3,0,No
791,52,Research & Development,Research Scientist,4258,No,4,4,3,3,1,No
792,26,Research & Development,Laboratory Technician,4364,No,4,2,3,3,2,No
793,29,Research & Development,Healthcare Representative,4335,No,3,8,2,3,1,No
796,26,Sales,Sales Executive,5326,No,1,4,2,3,1,Yes
797,34,Research & Development,Research Scientist,3280,No,4,4,3,3,1,No
799,54,Research & Development,Manufacturing Director,5485,Yes,1,5,3,3,1,No
800,27,Sales,Sales Executive,4342,No,4,4,3,3,1,No
802,37,Research & Development,Research Scientist,2782,Yes,1,5,2,3,4,No
803,38,Research & Development,Manufacturing Director,5980,Yes,1,15,3,3,4,No
804,34,Research & Development,Research Scientist,4381,No,1,6,3,3,1,No
805,35,Sales,Sales Representative,2572,No,4,3,2,3,0,No
806,30,Research & Development,Laboratory Technician,3833,No,3,2,3,4,0,No
807,40,Research & Development,Healthcare Representative,4244,No,2,8,3,4,3,No
808,34,Sales,Sales Executive,6500,No,1,3,3,3,1,No
809,42,Research & Development,Manager,18430,No,4,24,2,3,14,No
811,23,Research & Development,Laboratory Technician,1601,Yes,1,0,3,4,0,Yes
812,24,Research & Development,Laboratory Technician,2694,No,2,1,3,3,0,No
813,52,Research & Development,Laboratory Technician,3149,No,3,5,3,4,1,No
815,50,Research & Development,Research Director,17639,No,3,4,3,3,0,No
816,29,Research & Development,Laboratory Technician,2319,Yes,1,1,3,3,0,Yes
817,33,Research & Development,Research Director,11691,No,3,13,4,3,3,No
819,33,Sales,Sales Executive,5324,No,1,3,3,3,0,Yes
820,47,Research & Development,Manager,16752,Yes,4,26,2,3,3,No
823,36,Research & Development,Manufacturing Director,5228,No,2,9,3,3,0,No
824,29,Research & Development,Research Scientist,2700,No,3,10,3,4,0,No
825,58,Research & Development,Research Director,19246,Yes,2,31,3,3,13,Yes
826,35,Research & Development,Research Scientist,2506,No,3,2,3,3,2,No
827,42,Research & Development,Manufacturing Director,6062,Yes,4,4,3,3,0,No
828,28,Research & Development,Research Scientist,4382,No,3,2,2,3,2,Yes
829,36,Human Resources,Human Resources,2143,No,2,5,3,3,0,No
830,32,Research & Development,Manufacturing Director,6162,No,3,14,3,3,6,No
832,40,Research & Development,Laboratory Technician,5094,No,3,1,3,3,0,No
833,30,Research & Development,Manufacturing Director,6877,Yes,4,0,2,4,0,No
834,45,Research & Development,Research Scientist,2274,No,3,1,3,3,0,No
836,42,Research & Development,Manufacturing Director,4434,No,2,9,2,3,7,No
837,38,Research & Development,Healthcare Representative,6288,No,1,4,2,3,1,No
838,34,Research & Development,Research Scientist,2553,No,4,5,3,3,1,No
840,49,Sales,Sales Executive,7654,No,4,9,4,3,7,Yes
842,55,Sales,Sales Executive,5160,No,4,9,2,3,7,Yes
843,43,Research & Development,Research Director,17159,No,1,4,3,4,1,No
844,27,Research & Development,Research Director,12808,Yes,4,9,3,3,0,No
845,35,Research & Development,Manufacturing Director,10221,No,3,8,4,4,1,No
846,28,Sales,Sales Executive,4779,Yes,2,8,3,4,7,No
847,34,Human Resources,Human Resources,3737,No,4,3,1,3,0,No
848,26,Research & Development,Research Scientist,2366,Yes,3,8,3,3,1,Yes
850,27,Research & Development,Research Scientist,1706,No,4,0,2,3,0,No
851,51,Sales,Manager,16307,No,3,20,2,3,4,No
852,44,Research & Development,Healthcare Representative,5933,No,2,5,2,3,2,No
854,25,Research & Development,Research Scientist,3424,No,1,4,2,3,0,No
855,33,Sales,Sales Executive,4037,No,1,9,3,4,0,No
856,35,Research & Development,Research Scientist,2559,No,1,6,2,3,1,No
857,36,Sales,Sales Executive,6201,Yes,4,18,2,3,4,No
859,32,Sales,Sales Executive,4403,No,4,5,2,3,0,No
861,30,Research & Development,Research Scientist,3761,No,4,5,2,3,0,No
862,53,Sales,Sales Executive,10934,Yes,4,5,3,3,0,No
864,45,Sales,Sales Executive,10761,Yes,1,5,3,3,0,No
865,32,Research & Development,Research Scientist,5175,No,3,5,2,3,1,No
867,52,Research & Development,Manufacturing Director,13826,No,4,9,3,4,0,No
868,37,Sales,Sales Executive,6334,No,3,1,3,3,0,No
869,28,Human Resources,Human Resources,4936,No,4,5,3,3,0,No
872,22,Research & Development,Manufacturing Director,4775,No,4,2,1,4,2,No
874,44,Research & Development,Laboratory Technician,2818,Yes,4,3,2,4,0,No
875,42,Research & Development,Research Scientist,2515,Yes,4,2,3,3,2,No
878,36,Human Resources,Human Resources,2342,No,1,5,3,4,0,No
879,25,Sales,Sales Executive,4194,Yes,1,5,3,3,0,No
880,35,Research & Development,Manufacturing Director,10685,Yes,3,17,3,4,5,No
881,35,Research & Development,Research Scientist,2022,Yes,2,10,2,3,7,Yes
882,32,Research & Development,Laboratory Technician,2314,No,4,3,3,3,0,No
885,25,Sales,Sales Executive,4256,No,1,5,4,3,0,No
887,49,Research & Development,Research Scientist,3580,No,1,4,3,3,0,No
888,24,Research & Development,Laboratory Technician,3162,No,4,5,2,3,3,No
889,32,Sales,Sales Executive,6524,No,2,10,3,3,5,No
893,38,Sales,Sales Representative,2899,No,2,2,3,3,1,No
894,42,Research & Development,Laboratory Technician,5231,Yes,4,5,2,3,1,No
895,31,Research & Development,Research Scientist,2356,Yes,4,6,3,3,0,No
896,29,Sales,Sales Representative,2800,Yes,3,3,3,3,0,Yes
897,53,Sales,Sales Executive,11836,No,4,2,3,3,2,No
899,35,Research & Development,Manufacturing Director,10903,No,2,13,3,3,4,No
900,37,Sales,Sales Representative,2973,No,4,5,3,3,0,No
901,53,Research & Development,Research Director,14275,No,4,12,3,3,3,No
902,43,Research & Development,Healthcare Representative,5562,No,4,5,2,3,2,No
903,47,Sales,Sales Executive,4537,Yes,4,7,3,4,7,No
904,37,Sales,Sales Executive,7642,Yes,2,10,3,3,0,No
905,50,Research & Development,Manager,17924,No,1,31,3,3,14,No
909,39,Human Resources,Human Resources,5204,No,4,5,3,3,0,No
910,33,Human Resources,Human Resources,2277,Yes,2,4,4,3,0,No
911,32,Research & Development,Laboratory Technician,2795,Yes,4,1,1,4,0,Yes
912,29,Research & Development,Laboratory Technician,2532,No,4,4,3,3,0,No
913,44,Research & Development,Research Scientist,2559,Yes,1,8,3,3,7,No
916,28,Sales,Sales Executive,4908,No,4,4,3,3,0,No
918,58,Research & Development,Laboratory Technician,2380,Yes,4,1,2,3,0,Yes
920,43,Research & Development,Manufacturing Director,4765,No,2,1,4,4,0,No
922,20,Sales,Sales Representative,2044,No,3,2,2,3,0,Yes
923,21,Research & Development,Research Scientist,2693,No,4,1,2,3,0,Yes
924,36,Research & Development,Healthcare Representative,6586,Yes,4,16,2,3,4,No
925,47,Sales,Sales Representative,3294,Yes,4,3,2,3,1,No
926,22,Research & Development,Manufacturing Director,4171,Yes,3,3,4,3,0,Yes
927,41,Research & Development,Laboratory Technician,2778,Yes,4,7,2,3,1,Yes
930,28,Research & Development,Research Scientist,2377,No,3,2,3,3,2,No
932,39,Research & Development,Laboratory Technician,2404,Yes,1,2,1,4,2,Yes
933,27,Research & Development,Research Scientist,2318,No,3,1,3,3,0,No
934,34,Research & Development,Laboratory Technician,2008,No,2,1,3,3,1,No
936,42,Sales,Sales Executive,6244,No,3,5,3,3,0,No
939,33,Research & Development,Research Scientist,2799,Yes,1,3,3,3,0,No
940,58,Research & Development,Healthcare Representative,10552,Yes,2,6,3,3,0,No
941,31,Sales,Sales Representative,2329,No,3,7,4,3,5,No
942,35,Research & Development,Healthcare Representative,4014,Yes,4,10,1,4,0,No
944,49,Research & Development,Laboratory Technician,7403,No,2,26,2,3,1,No
945,48,Research & Development,Research Scientist,2259,No,3,0,2,3,0,No
947,31,Sales,Sales Executive,6932,No,3,9,2,3,0,No
949,36,Research & Development,Research Scientist,4678,No,4,6,3,3,0,No
950,38,Research & Development,Research Director,13582,No,1,15,3,3,5,No
951,32,Research & Development,Laboratory Technician,2332,No,2,3,3,4,0,No
952,25,Sales,Sales Representative,2413,Yes,2,1,3,3,0,Yes
954,40,Sales,Sales Executive,9705,No,2,1,2,3,0,No
956,26,Sales,Sales Executive,4294,No,1,7,3,3,0,No
957,41,Research & Development,Laboratory Technician,4721,Yes,1,18,3,3,2,No
958,36,Research & Development,Laboratory Technician,2519,No,3,11,3,4,3,No
959,19,Sales,Sales Representative,2121,Yes,2,1,4,3,0,Yes
960,20,Research & Development,Laboratory Technician,2973,No,1,1,3,3,0,Yes
961,31,Research & Development,Healthcare Representative,5855,Yes,4,9,1,3,8,No
964,40,Research & Development,Research Scientist,3617,Yes,2,1,3,3,0,No
966,32,Research & Development,Manufacturing Director,6725,No,1,8,4,3,6,No
967,36,Sales,Sales Executive,10325,Yes,4,16,3,3,3,Yes
969,33,Research & Development,Healthcare Representative,6949,No,4,5,3,3,1,No
970,37,Sales,Sales Executive,10609,No,3,14,1,3,11,Yes
972,45,Research & Development,Laboratory Technician,4447,No,2,9,2,3,0,No
974,29,Sales,Sales Representative,2157,No,4,3,3,3,0,No
975,35,Sales,Sales Executive,4601,No,3,5,3,3,1,No
976,52,Research & Development,Manager,17099,No,4,9,2,3,7,No
977,58,Research & Development,Research Scientist,2479,No,3,1,3,4,0,Yes
981,53,Sales,Manager,14852,No,3,17,4,3,15,No
982,30,Sales,Sales Executive,7264,No,3,8,4,3,7,No
983,38,Sales,Sales Executive,5666,Yes,4,5,3,3,1,No
984,35,Sales,Sales Executive,7823,No,4,10,3,3,0,No
985,39,Sales,Sales Executive,7880,No,3,8,3,3,0,No
986,40,Sales,Sales Executive,13194,Yes,2,1,2,3,0,Yes
987,47,Research & Development,Manufacturing Director,5067,Yes,3,19,4,3,2,No
990,36,Sales,Sales Executive,5079,No,4,7,3,3,0,No
991,31,Research & Development,Research Scientist,2321,Yes,1,3,3,4,1,Yes
992,33,Sales,Manager,17444,No,3,10,3,3,6,No
994,29,Research & Development,Research Scientist,2404,Yes,1,0,3,4,0,Yes
995,33,Research & Development,Research Scientist,3452,No,4,3,3,3,0,No
996,45,Research & Development,Laboratory Technician,2270,No,4,5,3,3,0,No
997,50,Research & Development,Research Director,17399,No,4,5,2,4,1,No
998,33,Research & Development,Healthcare Representative,5488,Yes,2,6,3,3,1,No
999,41,Research & Development,Research Director,19419,No,3,18,4,3,0,No
1001,27,Research & Development,Laboratory Technician,2811,No,2,2,3,3,2,No
1002,45,Research & Development,Laboratory Technician,3633,Yes,1,9,3,3,0,No
1003,47,Sales,Sales Executive,4163,Yes,4,9,3,3,0,No
1004,30,Research & Development,Research Scientist,2132,Yes,3,5,3,3,0,Yes
1005,50,Research & Development,Manufacturing Director,13973,Yes,3,12,3,3,1,No
1006,38,Research & Development,Research Scientist,2684,No,3,2,2,3,0,No
1007,46,Research & Development,Manufacturing Director,10845,No,3,8,3,3,0,No
1009,24,Research & Development,Manufacturing Director,4377,No,3,4,3,3,3,No
1010,35,Research & Development,Laboratory Technician,3743,Yes,2,4,1,4,0,Yes
1011,31,Research & Development,Manufacturing Director,4148,No,1,4,3,3,0,No
1012,18,Research & Development,Research Scientist,1051,No,4,0,3,3,0,No
1013,54,Research & Development,Manufacturing Director,10739,No,3,10,3,3,0,No
1014,35,Research & Development,Healthcare Representative,10388,Yes,3,16,2,3,10,No
1015,30,Research & Development,Research Director,11416,Yes,1,8,2,3,1,No
1016,20,Research & Development,Research Scientist,2600,Yes,1,1,3,3,0,Yes
1017,30,Research & Development,Laboratory Technician,2422,No,2,3,3,3,1,Yes
1018,26,Research & Development,Manufacturing Director,5472,No,4,8,3,3,1,No
1019,22,Research & Development,Laboratory Technician,2451,No,1,4,2,3,1,No
1022,48,Research & Development,Healthcare Representative,4240,No,3,2,3,3,2,No
1024,48,Research & Development,Healthcare Representative,10999,No,3,15,3,3,4,No
1025,41,Research & Development,Manufacturing Director,5003,No,3,2,3,3,2,No
1026,39,Research & Development,Manufacturing Director,12742,No,4,21,3,3,11,No
1027,27,Research & Development,Manufacturing Director,4227,No,4,3,3,3,2,No
1028,35,Research & Development,Laboratory Technician,3917,No,4,3,2,4,1,No
1029,42,Sales,Manager,18303,No,3,1,4,3,0,No
1030,50,Research & Development,Laboratory Technician,2380,No,4,1,3,3,0,No
1032,59,Research & Development,Manufacturing Director,13726,Yes,4,5,3,3,4,No
1033,37,Research & Development,Healthcare Representative,4777,No,2,1,1,3,0,Yes
1034,55,Research & Development,Healthcare Representative,6385,Yes,2,8,3,3,6,No
1035,41,Research & Development,Research Director,19973,No,3,21,3,4,5,No
1036,38,Sales,Sales Executive,6861,Yes,4,1,3,3,0,No
1037,26,Sales,Sales Executive,4969,No,1,2,3,3,2,Yes
1038,52,Sales,Manager,19845,No,4,32,3,3,6,Yes
1039,44,Sales,Sales Executive,13320,Yes,4,12,3,3,11,No
1040,50,Sales,Sales Executive,6347,No,3,18,3,3,0,No
1042,36,Research & Development,Laboratory Technician,2743,No,1,17,3,3,15,Yes
1043,39,Research & Development,Manufacturing Director,10880,Yes,1,21,3,3,2,No
1044,33,Sales,Sales Representative,2342,No,4,2,2,3,2,No
1045,45,Sales,Manager,17650,No,4,9,4,3,1,No
1046,32,Research & Development,Laboratory Technician,4025,No,3,8,3,3,7,No
1047,34,Sales,Sales Executive,9725,No,4,15,2,3,0,No
1048,59,Sales,Manager,11904,Yes,4,6,1,3,0,No
1049,45,Human Resources,Human Resources,2177,No,2,6,3,3,0,No
1050,53,Sales,Sales Executive,7525,No,2,15,3,3,6,No
1052,36,Research & Development,Laboratory Technician,4834,No,3,1,2,3,0,Yes
1053,26,Research & Development,Research Scientist,2042,Yes,1,3,3,3,1,Yes
1055,34,Sales,Sales Representative,2220,Yes,3,1,3,3,0,No
1056,28,Sales,Sales Representative,1052,No,2,1,3,4,0,No
1060,38,Research & Development,Research Scientist,2821,No,3,2,3,3,2,No
1061,50,Research & Development,Research Director,19237,Yes,3,8,2,3,7,No
1062,37,Research & Development,Healthcare Representative,4107,No,2,4,2,3,0,No
1066,40,Sales,Sales Executive,8396,No,1,7,2,3,7,No
1068,26,Research & Development,Research Scientist,2007,No,3,5,3,3,1,No
1069,46,Research & Development,Research Director,19627,No,4,2,3,3,2,No
1070,54,Sales,Sales Executive,10686,No,3,9,3,3,7,No
1071,56,Research & Development,Research Scientist,2942,No,3,5,3,3,0,No
1073,36,Research & Development,Manufacturing Director,8858,No,4,14,2,3,7,No
1074,55,Research & Development,Manager,16756,No,1,9,4,3,6,No
1076,43,Sales,Sales Executive,10798,No,4,1,3,3,0,No
1077,20,Sales,Sales Representative,2323,Yes,4,2,3,3,0,Yes
1079,21,Research & Development,Laboratory Technician,1416,No,1,1,2,3,1,Yes
1080,46,Research & Development,Research Scientist,4615,Yes,1,16,3,4,1,No
1081,51,Research & Development,Research Scientist,2461,Yes,3,10,4,3,2,Yes
1082,28,Research & Development,Healthcare Representative,8722,No,1,10,2,3,1,Yes
1083,26,Research & Development,Laboratory Technician,3955,No,1,5,3,3,1,No
1084,30,Research & Development,Manufacturing Director,9957,No,1,6,2,3,0,No
1085,41,Research & Development,Research Scientist,3376,No,3,10,3,3,0,No
1088,38,Research & Development,Healthcare Representative,8823,No,3,19,2,3,1,No
1092,40,Research & Development,Healthcare Representative,10322,No,4,11,3,4,11,No
1094,27,Research & Development,Laboratory Technician,4621,No,3,3,3,3,1,No
1096,55,Research & Development,Manufacturing Director,10976,No,2,3,3,3,1,No
1097,28,Research & Development,Research Scientist,3660,No,3,8,4,3,1,No
1098,44,Human Resources,Human Resources,10482,No,1,20,3,3,3,Yes
1099,33,Research & Development,Healthcare Representative,7119,No,4,3,3,3,1,No
1100,35,Sales,Sales Executive,9582,Yes,1,8,3,4,4,Yes
1101,33,Research & Development,Research Scientist,4508,No,3,13,3,4,3,Yes
1102,28,Research & Development,Laboratory Technician,2207,No,3,4,2,3,2,No
1103,34,Research & Development,Healthcare Representative,7756,No,4,6,2,3,0,No
1105,37,Sales,Sales Executive,6694,Yes,4,1,3,3,0,No
